K,eps_CL,eps_E,tol,time,acc
34,8.99876711287637,0.012826498305280605,3.47168681892656e-8,6.033089549,0.6285714285714286
34,8.989325445741532,0.012826498305280605,3.47168681892656e-8,5.59926825,0.7428571428571429
34,8.979883778606695,0.012826498305280605,3.47168681892656e-8,7.071003102,0.8
34,8.970442111471856,0.012826498305280605,3.47168681892656e-8,7.605591212,0.7714285714285715
34,8.961000444337019,0.012826498305280605,3.47168681892656e-8,7.274334688,0.8285714285714286
34,8.951558777202182,0.012826498305280605,3.47168681892656e-8,5.892273769,0.8
34,8.942117110067343,0.012826498305280605,3.47168681892656e-8,4.669591506,0.6857142857142857
34,8.932675442932505,0.012826498305280605,3.47168681892656e-8,5.773755365,0.7428571428571429
34,8.923233775797668,0.012826498305280605,3.47168681892656e-8,5.840459906,0.8
34,8.91379210866283,0.012826498305280605,3.47168681892656e-8,6.09664114,0.6857142857142857
34,8.904350441527992,0.012826498305280605,3.47168681892656e-8,4.780913395,0.7714285714285715
34,8.894908774393153,0.012826498305280605,3.47168681892656e-8,10.551885954,0.5428571428571428
34,8.885467107258316,0.012826498305280605,3.47168681892656e-8,6.865015775,0.8285714285714286
34,8.87602544012348,0.012826498305280605,3.47168681892656e-8,8.274695284,0.8285714285714286
34,8.86658377298864,0.012826498305280605,3.47168681892656e-8,6.966711674,0.7714285714285715
34,8.857142105853802,0.012826498305280605,3.47168681892656e-8,6.044953872,0.7714285714285715
34,8.847700438718963,0.012826498305280605,3.47168681892656e-8,8.06761797,0.8285714285714286
34,8.838258771584126,0.012826498305280605,3.47168681892656e-8,8.204911601,0.7428571428571429
34,8.828817104449287,0.012826498305280605,3.47168681892656e-8,6.068457742,0.6857142857142857
34,8.81937543731445,0.012826498305280605,3.47168681892656e-8,4.619928345,0.6857142857142857
34,8.809933770179612,0.012826498305280605,3.47168681892656e-8,6.747924846,0.8
34,8.800492103044775,0.012826498305280605,3.47168681892656e-8,7.280963274,0.7714285714285715
34,8.791050435909936,0.012826498305280605,3.47168681892656e-8,5.830004459,0.8
34,8.781608768775099,0.012826498305280605,3.47168681892656e-8,7.379840004,0.7142857142857143
34,8.772167101640262,0.012826498305280605,3.47168681892656e-8,6.957778788,0.8
34,8.762725434505423,0.012826498305280605,3.47168681892656e-8,6.807605866,0.7142857142857143
34,8.753283767370585,0.012826498305280605,3.47168681892656e-8,7.085770925,0.8285714285714286
34,8.743842100235748,0.012826498305280605,3.47168681892656e-8,9.705975245,0.7714285714285715
34,8.73440043310091,0.012826498305280605,3.47168681892656e-8,7.022894058,0.7142857142857143
34,8.724958765966072,0.012826498305280605,3.47168681892656e-8,11.102067662,0.8
